==504533== NVPROF is profiling process 504533, command: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling application: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling result:
   Start  Duration  Name
200.50ms     233ns  cuDeviceGetAttribute
200.50ms     233ns  cuDeviceGetAttribute
200.50ms     235ns  cuDeviceGetAttribute
200.50ms     229ns  cuDeviceGetAttribute
200.50ms     238ns  cuDeviceGetAttribute
200.50ms     255ns  cuDeviceGetAttribute
200.50ms     239ns  cuDeviceGetAttribute
200.50ms     231ns  cuDeviceGetAttribute
200.50ms     246ns  cuDeviceGetAttribute
200.50ms     244ns  cuDeviceGetAttribute
200.50ms     264ns  cuDeviceGetAttribute
200.50ms     292ns  cuDeviceGetAttribute
200.50ms     243ns  cuDeviceGetAttribute
200.50ms     295ns  cuDeviceGetAttribute
200.50ms     234ns  cuDeviceGetAttribute
200.50ms     241ns  cuDeviceGetAttribute
200.50ms     247ns  cuDeviceGetAttribute
200.50ms     235ns  cuDeviceGetAttribute
200.50ms     241ns  cuDeviceGetAttribute
200.50ms     274ns  cuDeviceGetAttribute
200.51ms     235ns  cuDeviceGetAttribute
200.51ms     236ns  cuDeviceGetAttribute
200.51ms     237ns  cuDeviceGetAttribute
200.51ms     237ns  cuDeviceGetAttribute
200.51ms     237ns  cuDeviceGetAttribute
200.51ms     229ns  cuDeviceGetAttribute
200.51ms     232ns  cuDeviceGetAttribute
200.51ms     234ns  cuDeviceGetAttribute
200.51ms     229ns  cuDeviceGetAttribute
200.51ms     233ns  cuDeviceGetAttribute
200.51ms     247ns  cuDeviceGetAttribute
200.51ms     233ns  cuDeviceGetAttribute
200.51ms     232ns  cuDeviceGetAttribute
200.51ms     232ns  cuDeviceGetAttribute
200.51ms     233ns  cuDeviceGetAttribute
200.51ms     230ns  cuDeviceGetAttribute
200.51ms     234ns  cuDeviceGetAttribute
200.51ms     239ns  cuDeviceGetAttribute
200.51ms     230ns  cuDeviceGetAttribute
200.51ms     250ns  cuDeviceGetAttribute
200.52ms     229ns  cuDeviceGetAttribute
200.52ms  78.531us  cuDeviceGetAttribute
200.59ms     259ns  cuDeviceGetAttribute
200.59ms     234ns  cuDeviceGetAttribute
200.60ms     242ns  cuDeviceGetAttribute
200.60ms     294ns  cuDeviceGetAttribute
200.60ms     234ns  cuDeviceGetAttribute
200.60ms     245ns  cuDeviceGetAttribute
200.60ms     244ns  cuDeviceGetAttribute
200.60ms     233ns  cuDeviceGetAttribute
200.60ms     264ns  cuDeviceGetAttribute
200.60ms     239ns  cuDeviceGetAttribute
200.60ms     235ns  cuDeviceGetAttribute
200.60ms     231ns  cuDeviceGetAttribute
200.60ms     238ns  cuDeviceGetAttribute
200.60ms     304ns  cuDeviceGetAttribute
200.60ms     240ns  cuDeviceGetAttribute
200.60ms     244ns  cuDeviceGetAttribute
200.60ms     231ns  cuDeviceGetAttribute
200.60ms     237ns  cuDeviceGetAttribute
200.60ms     248ns  cuDeviceGetAttribute
200.60ms     230ns  cuDeviceGetAttribute
200.60ms     237ns  cuDeviceGetAttribute
200.60ms  71.437us  cuDeviceGetAttribute
200.68ms     279ns  cuDeviceGetAttribute
200.68ms     355ns  cuDeviceGetAttribute
200.68ms     246ns  cuDeviceGetAttribute
200.68ms     234ns  cuDeviceGetAttribute
200.68ms     232ns  cuDeviceGetAttribute
200.68ms     236ns  cuDeviceGetAttribute
200.68ms     291ns  cuDeviceGetAttribute
200.68ms     433ns  cuDeviceGetAttribute
200.68ms     237ns  cuDeviceGetAttribute
200.68ms     295ns  cuDeviceGetAttribute
200.68ms     231ns  cuDeviceGetAttribute
200.68ms     310ns  cuDeviceGetAttribute
200.68ms     233ns  cuDeviceGetAttribute
200.68ms     273ns  cuDeviceGetAttribute
200.68ms     229ns  cuDeviceGetAttribute
200.68ms     254ns  cuDeviceGetAttribute
200.69ms     257ns  cuDeviceGetAttribute
200.69ms     272ns  cuDeviceGetUuid
200.69ms     252ns  cuDeviceGetAttribute
200.69ms     292ns  cuDeviceGetAttribute
200.69ms     234ns  cuDeviceGetAttribute
200.79ms  151.56ms  cudaMalloc
352.35ms  92.895us  cudaMalloc
352.45ms  84.436us  cudaMalloc
352.53ms  82.862us  cudaMalloc
352.61ms  82.177us  cudaMalloc
352.70ms  80.953us  cudaMalloc
352.79ms  3.3002ms  cudaMemcpy
356.09ms  708.13us  cudaMemcpy
356.80ms  74.874us  cudaMemcpyToSymbol
